"Country","c1_security_apparatus_2023","c1_security_apparatus_2022","c1_security_apparatus_2021","c1_security_apparatus_2020","c2_factionalized_elites_2023","c2_factionalized_elites_2022","c2_factionalized_elites_2021","c2_factionalized_elites_2020","c3_group_grievance_2023","c3_group_grievance_2022","c3_group_grievance_2021","c3_group_grievance_2020"
"Cameroon",9,8.8,8.8,8.79127452515685,8.4,8.4,8.3,8.6,8.1,8.4,8.7,8.6
"Niger",8.9,8.8,8.8,8.72561298356892,7.9,8.2,8.5,8.4,7.7,7.6,7.5,7.8
"Lebanon",5.8,5.7,5.2,4.7,8.8,8.5,8.8,8.7,8.1,8,7.9,8.22043333917241
"Uganda",9.2,8.9,9.2,9.22009207542524,8.9,9.2,9.1,8.8,7.6,7.9,7.8,8
"Iraq",8.2,8.5,8.4,8.1,7.7,8,8.3,8.6,8,7.9,8.2,8.5
"Congo Republic",8.5,8.3,8,8.00571792625499,6.5,6.8,6.5,6.7,8.8,8.7,8.4,8.1
"Venezuela",6.5,6.8,6.5,6.5,6.5,6,6.3,6.6,6.4,6.7,7,7.3
"Sri Lanka",7.2,6.7,5.7,5.7,6.6,6.9,7.2,7.5,8.4,8.1,8.6,9.1
"Guinea Bissau",8.9,8.9,8.6,8.42504650323094,5.5,5.8,6.1,6.43246500843069,3.7,4,4.3,4.6
"Pakistan",8.3,8.2,7.9,7.9,7.6,7.5,7.5,7.8,9,8.9,8.8,9.1
"Liberia",8.4,8.5,8.5,8.47537754475955,7.4,7.8,7.5,7.8,4.6,4.3,4.6,4.9
"Palestine",8.3,8.6,8.5,NA,6.2,5.9,6.2,NA,5.8,5.3,5,NA
"Kenya",8.1,8.4,8.3,8.3,7.3,7.6,7.5,7.4,8,8,8,8.3
"Cote d'Ivoire",8.6,NA,8.3,8.24915147266397,6,NA,6.6,6.9,6.7,NA,7.3,7.6
"Mauritania",8.6,8.5,8.5,8.45182151838419,8.3,8.2,7.9,7.6,7.6,7.3,7.3,7.3
"North Korea",7.3,7.6,7.1,6.8,3.2,3.5,3.8,4.1,4.6,4.9,5.2,5.5
"Angola",9.3,9.2,9,8.81871720671709,5.3,5.6,5.9,6.2,8.7,8.4,8.1,7.8
"Iran",6.8,6.5,5.5,4.5,5.5,5.4,5.3,5.6,9.6,9.2,9.3,9.59742249523
"Bangladesh",7.7,7.6,7.1,7.1,7.5,7.4,7.3,7.6,8.8,8.7,8.6,8.3
"Equatorial Guinea",9.1,8.8,8.5,8.2,5.5,5.2,5,4.8,7.5,7.2,6.9,6.6
"Malawi",9.6,9.5,9.4,9.4,6,5.5,5.4,5.7,4.1,4.4,4.7,5
"Rwanda",7.2,7.3,7.5,7.51468592860772,7.3,7.6,7.5,7.8,9,9.3,9.6,9.89995158598018
"Comoros",8.2,8.3,8,7.9,5.5,5.8,6,5.8,4.8,4.5,4.2,4.5
